,SP500,NDX100,NDX_SP500
2015-02-28,0.9973997327888275,0.9973997327888275,0.9973997327888275
2015-03-31,1.000694632618018,1.000694632618018,1.000694632618018
2015-04-30,1.0005684879078653,1.0005684879078653,1.0005684879078653
2015-05-31,1.0009961184752831,1.0009961184752831,1.0009961184752831
2015-06-30,1.0019528849700852,1.0019528849700852,1.0019528849700852
2015-07-31,1.0024060237189425,1.0024060237189425,1.0024060237189425
2015-08-31,1.0019023959729978,1.0019023959729978,1.0019023959729978
2015-09-30,1.004872411226651,1.004872411226651,1.004872411226651
2015-10-31,1.00344988373372,1.00344988373372,1.00344988373372
2015-11-30,1.0014354465612083,1.0014354465612083,1.0014354465612083
2015-12-31,0.9994222723587106,0.9994222723587106,0.9994222723587106
2016-01-31,1.0059543532717077,1.0059543532717077,1.0059543532717077
2016-02-29,1.0092734031677468,1.0042355066293527,1.004516767812945
2016-03-31,1.0524974020249867,1.0583051632846805,1.047732311118459
2016-04-30,1.0974279550014812,1.0868400255990502,1.0824447477392485
2016-05-31,1.1009370813651234,1.0776281940081387,1.1129296937033268
2016-06-30,1.1868286342618128,1.1358761667456194,1.199092579500676
2016-07-31,1.212645690197932,1.1655045384340448,1.2252239579799957
2016-08-31,1.1971596903939834,1.1421585811978168,1.2108437762259787
2016-09-30,1.2134798653879455,1.1741846985627156,1.236110845443739
2016-10-31,1.1478181029169738,1.1021526759388547,1.1647547370355706
2016-11-30,1.224254909968164,1.1234721678294848,1.208674378268611
2016-12-31,1.2408801595515584,1.132962684811722,1.2183485188983056
2017-01-31,1.2569228501406011,1.165384016013915,1.2307652717954247
2017-02-28,1.2817837380822787,1.2927886715366737,1.2561033630918363
2017-03-31,1.3246804741856995,1.3372770771746143,1.292813741692985
2017-04-30,1.3422909851525773,1.3630832857896573,1.296095644397855
2017-05-31,1.4049183906880716,1.4176205012610317,1.3360649590417173
2017-06-30,1.3944143824727524,1.4181624289369272,1.328991604433572
2017-07-31,1.46106501791356,1.46934737797221,1.3645139783009765
2017-08-31,1.5101298987461673,1.5456968753354758,1.3865638186624285
2017-09-30,1.5509689043981003,1.4913557082263689,1.4284357205911558
2017-10-31,1.650328155590306,1.54480505830132,1.5182433894649627
2017-11-30,1.6951813744773176,1.5446530544080215,1.5511799488408646
2017-12-31,1.7405066799539155,1.5208290348058406,1.6049295693984384
2018-01-31,1.82837898649561,1.57181424551483,1.6867346794670313
2018-02-28,1.8633561143882489,1.581360517322931,1.719011145450839
2018-03-31,1.8987072567485463,1.6352829571838294,1.7402562659441552
2018-04-30,1.960724303601006,1.6838843817789872,1.7838356165666023
2018-05-31,2.1345036254874508,1.7220079473417556,1.9264712508234956
2018-06-30,2.2081823984447344,1.8170448817112042,1.9945253519398916
2018-07-31,2.2392360699778764,1.8288476786165675,2.0159600082711044
2018-08-31,2.411698878846583,1.9917956291761583,2.1932875848428623
2018-09-30,2.65408830504483,2.0286928515217664,2.3769085661797122
2018-10-31,2.4047836651202155,1.855560509360092,2.1476691142866717
2018-11-30,2.430757819816774,1.8703192306924092,2.170907097174023
2018-12-31,2.4435953288213477,1.7985445830345261,2.1804072667951
2019-01-31,2.5122952469463664,1.8503372412366248,2.2424972413414865
2019-02-28,2.828660535167714,1.8354570637606658,2.5256243631654898
2019-03-31,2.899173455350414,1.8273907493055126,2.5882342630632884
2019-04-30,2.892811845517948,1.877065702348728,2.58259129038291
2019-05-31,2.950965014856708,1.8727766914322301,2.6571751225682387
2019-06-30,3.0622707327240337,1.9406539658855666,2.7574050180376903
2019-07-31,3.309092007729709,1.9950727734589726,2.9691614800032737
2019-08-31,3.5954842623364938,2.041165347998496,3.0913441538811766
2019-09-30,3.46778684091505,1.9688436062353405,2.961602775400675
2019-10-31,3.5348913770213177,2.012081947057674,3.0222941388176094
2019-11-30,3.541025399887309,2.0113964021602304,3.0133911591517446
2019-12-31,3.75916434353313,2.135100579557372,3.1853014724557918
2020-01-31,4.13769619914272,2.399037529363416,3.5060120904034062
2020-02-29,4.208925233708419,2.378673204898233,3.5543783832976725
2020-03-31,3.960550453742151,2.4236778251367395,3.4641331206653043
2020-04-30,4.411572367502156,2.781914575761093,3.8791639444875368
2020-05-31,4.482776151947376,2.892038155429308,3.9521439597607273
2020-06-30,4.461612208318869,2.9530765808900266,3.9313933207190144
2020-07-31,4.9754507399753285,3.170350734916271,4.371388891505433
2020-08-31,5.250039462992624,3.3582725392743034,4.613486872610049
2020-09-30,5.099558900797312,3.3255805091107375,4.5174984317131095
2020-10-31,5.075972205255885,3.2589801729827204,4.496653082881584
2020-11-30,5.618774623166699,3.4360354405261395,5.013762683908449
2020-12-31,5.881992027864106,3.8090969155718604,5.242287162847809
2021-01-31,6.000500797124851,3.8182419255638984,5.340651118078523
2021-02-28,6.3638035245604945,3.777155038512983,5.667255468725509
2021-03-31,6.635661537109995,3.742519404684638,5.954744339447052
2021-04-30,7.237000361989249,3.929316529604081,6.394607241227325
2021-05-31,7.836075087926543,3.9345123491227585,6.762493976257213
2021-06-30,7.459533686936129,4.114051790876427,6.436430613347781
2021-07-31,7.673599553027985,4.487950836560037,6.703508807614533
2021-08-31,7.96331835711352,4.649637885459437,6.990557741214311
2021-09-30,7.630613430878115,4.400754771537724,6.726064453439351
2021-10-31,8.188559852529158,4.635605791733662,7.179775521491692
2021-11-30,8.078387341509503,4.58488793645322,7.158457245151478
2021-12-31,8.217004990362271,4.656814354185025,7.234780042420429
2022-01-31,7.956624008261806,4.338333471795599,6.933487377200818
2022-02-28,8.094190601098218,4.335263719310998,7.154907490535747
2022-03-31,9.139245582534073,4.587609309464851,7.909415525797607
2022-04-30,8.903622358960277,4.511946767402821,7.698241247057124
2022-05-31,9.065188606063952,4.476409035960541,7.868344328012468
2022-06-30,8.731806164411143,4.137865764161049,7.4496593670474835
2022-07-31,9.112766297866814,4.09767289002451,7.692850155349608
2022-08-31,9.372783661293754,4.023864663687754,7.8705010445500765
2022-09-30,8.913085663285603,3.901889182585918,7.497032531244215
2022-10-31,9.555809997367305,3.9767709770933295,8.119451524151485
2022-11-30,9.943527531665977,4.2851370312323676,8.384510006185353
2022-12-31,9.723123128775567,4.152795939470802,8.137400072873403
2023-01-31,10.04266310003487,4.192394458116716,8.340893509648163
2023-02-28,9.62714009762099,3.9705095889326034,7.993965149955708
2023-03-31,9.826066174852789,4.240398624235279,8.149871500574397
2023-04-30,10.201409296777877,4.2501987809088,8.480860277494862
2023-05-31,10.538895565789034,4.314435267217528,8.645311316610526
2023-06-30,11.088654128898503,4.429823453067851,9.09663746646212
2023-07-31,11.418333327796898,4.402878869331721,9.367091582692208
2023-08-31,10.698243204694851,4.246120945603576,8.776361750478559
2023-09-30,10.34068936750789,4.03622163436696,8.48307746585089
2023-10-31,10.69744667555043,4.2575420111492575,8.709959873092384
2023-11-30,11.078385859431734,4.525637052832468,9.038284444312051
2023-12-31,12.076440118102836,4.611859871254196,9.65729423876408
2024-01-31,12.461988440631014,5.033376020186492,10.569199138623489
2024-02-29,13.730178241457997,5.473803852979572,11.549555418451682
2024-03-31,14.095107277765496,5.621109641340209,11.910406542775952
2024-04-30,13.398483029215642,5.345284949067753,11.230680754995525
2024-05-31,13.84938127267664,5.608576296240909,11.607455380275743
2024-06-30,13.765913793188055,5.693988120775321,11.544847069787707
2024-07-31,13.532952736123418,5.603728271665665,11.273204211182238
2024-08-31,13.586591341482304,5.805802729755702,11.683040337945927
2024-09-30,14.113079277143838,5.881823850086051,12.13576461846473
2024-10-31,14.609983112050674,5.882844529034262,12.923188119680937
2024-11-30,16.915239772641865,6.054533465713403,14.970280439981142
2024-12-31,16.093516301980156,5.814317969831153,14.173939016117993
2025-01-31,16.53698571720788,6.097533775730724,14.558166250750453
2025-02-28,16.61804966153189,6.087727778462951,14.631948987700529
2025-03-31,16.351524828761868,5.844180136635458,14.427106610511618
2025-04-30,15.903042683093052,5.918024551725197,14.03187249164918
2025-05-31,15.985739871419176,6.04316603669221,13.449150039732706
2025-06-30,16.424867010785285,5.992582456883669,13.449874973896016
2025-07-31,17.206237076916405,5.778113940535872,13.708985088735117
2025-08-31,17.30081652227502,5.653661375440835,14.18692816805246
2025-09-30,18.247660030805385,6.098093129106678,14.956535798884401
2025-10-31,19.276960286922797,6.3415882354614075,15.493185366108827
2025-11-30,20.400179551985396,6.544857476660724,16.39625197668139
2025-12-31,21.015184333800303,6.741344107828645,16.890550242233658
